city_name,year,month,pct_high_radiation
Ampara,2010,1,74.2
Ampara,2010,2,75.0
Ampara,2010,3,100.0
Ampara,2010,4,93.3
Ampara,2010,5,90.3
Ampara,2010,6,93.3
Ampara,2010,7,93.5
Ampara,2010,8,93.5
Ampara,2010,9,80.0
Ampara,2010,10,87.1
Ampara,2010,11,60.0
Ampara,2010,12,35.5
Ampara,2011,1,38.7
Ampara,2011,2,57.1
Ampara,2011,3,90.3
Ampara,2011,4,93.3
Ampara,2011,5,100.0
Ampara,2011,6,100.0
Ampara,2011,7,100.0
Ampara,2011,8,96.8
Ampara,2011,9,100.0
Ampara,2011,10,77.4
Ampara,2011,11,66.7
Ampara,2011,12,54.8
Ampara,2012,1,87.1
Ampara,2012,2,86.2
Ampara,2012,3,100.0
Ampara,2012,4,96.7
Ampara,2012,5,100.0
Ampara,2012,6,100.0
Ampara,2012,7,96.8
Ampara,2012,8,100.0
Ampara,2012,9,100.0
Ampara,2012,10,71.0
Ampara,2012,11,70.0
Ampara,2012,12,41.9
Ampara,2013,1,48.4
Ampara,2013,2,71.4
Ampara,2013,3,93.5
Ampara,2013,4,100.0
Ampara,2013,5,96.8
Ampara,2013,6,83.3
Ampara,2013,7,96.8
Ampara,2013,8,96.8
Ampara,2013,9,96.7
Ampara,2013,10,87.1
Ampara,2013,11,90.0
Ampara,2013,12,41.9
Ampara,2014,1,64.5
Ampara,2014,2,96.4
Ampara,2014,3,93.5
Ampara,2014,4,93.3
Ampara,2014,5,93.5
Ampara,2014,6,96.7
Ampara,2014,7,100.0
Ampara,2014,8,100.0
Ampara,2014,9,100.0
Ampara,2014,10,87.1
Ampara,2014,11,56.7
Ampara,2014,12,32.3
Ampara,2015,1,87.1
Ampara,2015,2,85.7
Ampara,2015,3,93.5
Ampara,2015,4,96.7
Ampara,2015,5,100.0
Ampara,2015,6,100.0
Ampara,2015,7,93.5
Ampara,2015,8,100.0
Ampara,2015,9,96.7
Ampara,2015,10,71.0
Ampara,2015,11,53.3
Ampara,2015,12,48.4
Ampara,2016,1,87.1
Ampara,2016,2,89.7
Ampara,2016,3,100.0
Ampara,2016,4,100.0
Ampara,2016,5,80.6
Ampara,2016,6,96.7
Ampara,2016,7,93.5
Ampara,2016,8,96.8
Ampara,2016,9,96.7
Ampara,2016,10,100.0
Ampara,2016,11,70.0
Ampara,2016,12,83.9
Ampara,2017,1,61.3
Ampara,2017,2,75.0
Ampara,2017,3,93.5
Ampara,2017,4,96.7
Ampara,2017,5,93.5
Ampara,2017,6,96.7
Ampara,2017,7,100.0
Ampara,2017,8,93.5
Ampara,2017,9,93.3
Ampara,2017,10,93.5
Ampara,2017,11,33.3
Ampara,2017,12,51.6
Ampara,2018,1,67.7
Ampara,2018,2,78.6
Ampara,2018,3,80.6
Ampara,2018,4,96.7
Ampara,2018,5,87.1
Ampara,2018,6,100.0
Ampara,2018,7,100.0
Ampara,2018,8,96.8
Ampara,2018,9,100.0
Ampara,2018,10,71.0
Ampara,2018,11,56.7
Ampara,2018,12,54.8
Ampara,2019,1,74.2
Ampara,2019,2,82.1
Ampara,2019,3,100.0
Ampara,2019,4,93.3
Ampara,2019,5,100.0
Ampara,2019,6,100.0
Ampara,2019,7,96.8
Ampara,2019,8,90.3
Ampara,2019,9,90.0
Ampara,2019,10,64.5
Ampara,2019,11,63.3
Ampara,2019,12,41.9
Ampara,2020,1,87.1
Ampara,2020,2,93.1
Ampara,2020,3,100.0
Ampara,2020,4,100.0
Ampara,2020,5,90.3
Ampara,2020,6,93.3
Ampara,2020,7,87.1
Ampara,2020,8,90.3
Ampara,2020,9,80.0
Ampara,2020,10,96.8
Ampara,2020,11,66.7
Ampara,2020,12,64.5
Ampara,2021,1,45.2
Ampara,2021,2,85.7
Ampara,2021,3,74.2
Ampara,2021,4,100.0
Ampara,2021,5,93.5
Ampara,2021,6,93.3
Ampara,2021,7,96.8
Ampara,2021,8,93.5
Ampara,2021,9,90.0
Ampara,2021,10,80.6
Ampara,2021,11,50.0
Ampara,2021,12,77.4
Ampara,2022,1,77.4
Ampara,2022,2,92.9
Ampara,2022,3,83.9
Ampara,2022,4,100.0
Ampara,2022,5,96.8
Ampara,2022,6,93.3
Ampara,2022,7,77.4
Ampara,2022,8,93.5
Ampara,2022,9,96.7
Ampara,2022,10,80.6
Ampara,2022,11,70.0
Ampara,2022,12,61.3
Ampara,2023,1,83.9
Ampara,2023,2,82.1
Ampara,2023,3,93.5
Ampara,2023,4,96.7
Ampara,2023,5,87.1
Ampara,2023,6,100.0
Ampara,2023,7,87.1
Ampara,2023,8,100.0
Ampara,2023,9,90.0
Ampara,2023,10,90.3
Ampara,2023,11,60.0
Ampara,2023,12,51.6
Ampara,2024,1,77.4
Ampara,2024,2,96.6
Ampara,2024,3,100.0
Ampara,2024,4,93.3
Ampara,2024,5,87.1
Ampara,2024,6,87.5
Anuradhapura,2010,1,71.0
Anuradhapura,2010,2,85.7
Anuradhapura,2010,3,96.8
Anuradhapura,2010,4,100.0
Anuradhapura,2010,5,83.9
Anuradhapura,2010,6,86.7
