year,month,week_of_month,weekly_max_temp
2010,3,1,36.1
2010,3,2,36.7
2010,3,3,37.2
2010,3,4,36.6
2010,3,5,33.9
2010,4,1,36.1
2010,4,2,36.2
2010,4,3,36.3
2010,4,4,34.6
2010,4,5,32.9
2010,5,1,33.8
2010,5,2,34.2
2010,5,3,35.0
2010,5,4,34.6
2010,5,5,35.5
2011,5,1,33.8
2011,5,2,35.1
2011,5,3,35.7
2011,5,4,35.4
2011,5,5,34.7
2011,6,1,35.1
2011,6,2,35.2
2011,6,3,36.4
2011,6,4,35.4
2011,6,5,37.0
2011,9,1,35.0
2011,9,2,35.4
2011,9,3,35.7
2011,9,4,36.7
2011,9,5,36.8
2012,5,1,37.1
2012,5,2,36.1
2012,5,3,37.4
2012,5,4,36.2
2012,5,5,36.4
2012,6,1,36.5
2012,6,2,37.3
2012,6,3,36.1
2012,6,4,35.7
2012,6,5,36.5
2012,7,1,36.6
2012,7,2,37.4
2012,7,3,35.3
2012,7,4,35.5
2012,7,5,36.4
2013,4,1,36.5
2013,4,2,36.0
2013,4,3,36.2
2013,4,4,34.8
2013,4,5,34.8
2013,5,1,34.6
2013,5,2,35.7
2013,5,3,36.3
2013,5,4,35.2
2013,5,5,34.4
2013,8,1,35.3
2013,8,2,34.3
2013,8,3,34.7
2013,8,4,37.5
2013,8,5,35.3
2014,3,1,34.9
2014,3,2,36.5
2014,3,3,36.0
2014,3,4,36.4
2014,3,5,37.2
2014,4,1,37.2
2014,4,2,35.2
2014,4,3,35.6
2014,4,4,35.1
2014,4,5,32.8
2014,6,1,35.5
2014,6,2,35.4
2014,6,3,36.2
2014,6,4,36.1
2014,6,5,34.6
2015,6,1,34.8
2015,6,2,35.4
2015,6,3,34.6
2015,6,4,35.8
2015,6,5,33.2
2015,7,1,35.5
2015,7,2,36.0
2015,7,3,35.6
2015,7,4,36.4
2015,7,5,35.5
2015,8,1,35.4
2015,8,2,36.2
2015,8,3,35.7
2015,8,4,34.4
2015,8,5,36.0
2016,3,1,35.9
2016,3,2,36.4
2016,3,3,37.2
2016,3,4,37.4
2016,3,5,33.6
2016,4,1,36.0
2016,4,2,36.4
2016,4,3,36.1
2016,4,4,38.0
2016,4,5,36.7
2016,9,1,35.3
2016,9,2,36.1
2016,9,3,35.5
2016,9,4,36.0
2016,9,5,34.9
2017,4,1,36.7
2017,4,2,37.0
2017,4,3,38.8
2017,4,4,38.7
2017,4,5,39.3
2017,5,1,37.1
2017,5,2,35.5
2017,5,3,37.8
2017,5,4,37.6
2017,5,5,37.1
2017,7,1,39.1
2017,7,2,37.8
2017,7,3,39.5
2017,7,4,39.1
2017,7,5,37.1
2018,4,1,36.4
2018,4,2,33.7
2018,4,3,36.4
2018,4,4,37.9
2018,4,5,37.5
2018,7,1,37.2
2018,7,2,37.3
2018,7,3,39.4
2018,7,4,38.7
2018,7,5,37.5
2018,9,1,38.8
2018,9,2,39.3
2018,9,3,38.7
2018,9,4,37.1
2018,9,5,31.6
2019,4,1,37.7
2019,4,2,38.0
2019,4,3,36.4
2019,4,4,36.5
2019,4,5,34.3
2019,5,1,38.1
2019,5,2,38.8
2019,5,3,38.3
2019,5,4,37.5
2019,5,5,38.3
2019,6,1,38.1
2019,6,2,38.4
2019,6,3,38.9
2019,6,4,39.1
2019,6,5,38.6
2020,3,1,36.7
2020,3,2,37.0
2020,3,3,36.6
2020,3,4,36.7
2020,3,5,35.8
2020,4,1,37.8
2020,4,2,36.6
2020,4,3,36.3
2020,4,4,36.1
2020,4,5,35.3
2020,6,1,36.6
2020,6,2,38.1
2020,6,3,38.5
2020,6,4,36.9
2020,6,5,35.3
2021,4,1,37.8
2021,4,2,35.4
2021,4,3,34.5
2021,4,4,34.9
2021,4,5,33.9
2021,6,1,36.5
2021,6,2,35.2
2021,6,3,37.8
2021,6,4,37.7
2021,6,5,37.1
2021,7,1,37.2
2021,7,2,37.4
2021,7,3,37.0
2021,7,4,37.0
2021,7,5,38.1
2022,3,1,35.5
2022,3,2,34.8
2022,3,3,35.0
2022,3,4,34.6
2022,3,5,35.2
2022,5,1,35.9
2022,5,2,36.5
2022,5,3,34.8
2022,5,4,37.1
2022,5,5,34.4
2022,7,1,37.2
2022,7,2,37.6
2022,7,3,38.0
2022,7,4,35.1
2022,7,5,33.9
2023,4,1,35.5
2023,4,2,36.6
2023,4,3,36.8
2023,4,4,35.7
2023,4,5,34.2
2023,6,1,37.0
2023,6,2,37.9
2023,6,3,37.7
2023,6,4,37.6
2023,6,5,36.2
2023,8,1,39.5
2023,8,2,38.3
2023,8,3,39.4
2023,8,4,39.0
2023,8,5,37.6
2024,3,1,36.6
2024,3,2,38.3
2024,3,3,38.1
2024,3,4,36.0
2024,3,5,37.2
2024,4,1,39.4
2024,4,2,38.9
2024,4,3,39.0
2024,4,4,39.4
2024,4,5,38.4
2024,5,1,40.3
2024,5,2,36.3
2024,5,3,34.0
2024,5,4,34.4
2024,5,5,36.3
