precipitation_hours,sunshine_duration,wind_speed_10m_max,et0_fao_evapotranspiration,prediction,residual
14,40574.88,10.3,4.32,4.28,0.04
10,39600.0,9.2,4.29,4.04,0.25
9,39191.48,11.9,3.48,3.97,-0.49
9,40046.57,13.4,3.76,4.11,-0.35
9,40047.19,13.8,3.41,4.11,-0.7
8,34909.82,11.3,3.58,3.91,-0.33
10,38100.71,12.4,3.81,3.98,-0.17
17,28622.78,11.0,3.27,3.43,-0.16
18,5531.36,14.8,1.98,1.9,0.08
7,31854.57,14.3,3.26,3.76,-0.5
11,39162.41,14.1,3.52,3.82,-0.3
16,29706.92,11.3,2.96,3.46,-0.5
18,33905.08,13.7,3.6,3.34,0.26
19,34314.11,14.0,2.69,3.19,-0.5
20,27274.68,16.5,3.12,2.95,0.17
14,12187.89,14.8,2.15,2.26,-0.11
18,7006.58,14.6,1.86,1.9,-0.04
20,9681.55,19.4,2.09,2.14,-0.05
21,23072.49,16.9,2.52,2.73,-0.21
23,1695.4,23.0,1.35,1.48,-0.13
24,10976.0,17.3,1.88,2.16,-0.28
19,27175.46,16.5,2.52,2.94,-0.42
22,23271.46,17.1,2.53,2.71,-0.18
20,30173.69,19.2,2.87,3.03,-0.16
19,24293.91,17.1,2.85,2.85,0.0
18,30990.57,18.3,3.11,3.16,-0.05
14,40392.21,17.9,3.85,4.17,-0.32
15,36902.96,15.2,2.96,3.62,-0.66
17,40165.22,17.2,3.67,3.83,-0.16
11,40280.01,17.2,3.7,4.13,-0.43
11,40395.69,15.5,3.39,4.1,-0.71
16,22802.98,12.8,2.79,2.91,-0.12
18,31992.67,19.6,2.93,3.27,-0.34
15,35805.07,15.9,3.55,3.57,-0.02
13,38336.87,13.9,3.45,3.86,-0.41
23,26999.02,13.5,3.14,2.83,0.31
18,32871.67,14.2,3.08,3.28,-0.2
10,37744.41,16.9,3.6,3.81,-0.21
16,39834.19,19.2,3.83,4.03,-0.2
15,39726.89,14.0,3.25,3.79,-0.54
16,37718.73,13.6,3.45,3.48,-0.03
18,40147.29,15.4,3.73,3.82,-0.09
17,27557.8,10.7,3.26,3.08,0.18
9,40159.22,15.7,3.92,4.18,-0.26
15,39942.53,13.9,4.01,3.82,0.19
10,35080.13,15.3,3.63,3.85,-0.22
13,40598.16,12.1,4.43,4.28,0.15
10,34472.3,11.3,3.85,3.86,-0.01
2,40768.76,11.4,4.46,4.93,-0.47
6,40844.48,13.8,4.53,4.48,0.05
11,40772.83,16.2,4.05,3.97,0.08
19,40385.49,18.9,3.92,4.02,-0.1
17,37779.18,17.4,3.4,3.47,-0.07
14,37015.88,15.1,3.85,3.61,0.24
15,40164.54,15.5,3.59,4.0,-0.41
18,25200.0,15.2,2.79,2.91,-0.12
16,25128.27,15.5,2.96,2.92,0.04
17,33608.89,17.0,3.18,3.28,-0.1
19,33849.21,19.5,3.1,3.22,-0.12
17,36483.79,19.2,3.45,3.44,0.01
20,39820.2,18.1,3.03,3.57,-0.54
21,36390.38,21.3,2.81,3.37,-0.56
7,40150.85,16.9,4.21,4.38,-0.17
1,40895.83,16.3,4.34,5.07,-0.73
0,40897.62,16.5,4.94,5.05,-0.11
0,40899.29,18.3,4.71,5.39,-0.68
0,40901.18,19.5,4.6,5.54,-0.94
7,40154.82,19.1,4.0,4.35,-0.35
