precipitation_hours,sunshine_duration,wind_speed_10m_max,et0_fao_evapotranspiration,prediction,residual
24,0.0,26.3,0.96,1.54,-0.58
24,0.0,26.3,0.96,1.54,-0.58
24,859.57,26.1,1.55,1.54,0.01
24,363.05,25.4,0.83,1.54,-0.71
24,256.3,26.2,1.07,1.54,-0.47
24,163.08,25.5,1.15,1.54,-0.39
24,0.0,25.9,0.87,1.54,-0.67
24,0.0,9.8,0.81,1.55,-0.74
24,0.0,7.1,0.89,1.55,-0.66
24,0.0,9.8,0.83,1.55,-0.72
24,5665.0,8.0,1.45,1.55,-0.1
24,2435.21,10.2,1.04,1.55,-0.51
24,2545.59,9.7,1.49,1.55,-0.06
24,0.0,10.2,0.78,1.55,-0.77
24,6708.45,7.3,1.79,1.55,0.24
24,2181.23,8.2,1.37,1.55,-0.18
23,1695.4,23.0,1.35,1.56,-0.21
23,1697.49,23.0,1.4,1.56,-0.16
23,0.0,22.3,0.96,1.56,-0.6
23,275.53,22.4,1.59,1.56,0.03
24,4136.78,20.6,2.24,1.57,0.67
24,1490.01,10.3,1.3,1.57,-0.27
24,611.77,20.5,0.88,1.57,-0.69
24,4799.94,10.9,1.79,1.57,0.22
24,0.0,21.0,1.18,1.57,-0.39
24,0.0,21.1,1.31,1.57,-0.26
24,0.0,10.8,0.82,1.57,-0.75
24,0.0,21.2,0.59,1.57,-0.98
23,0.0,21.3,1.22,1.57,-0.35
24,4279.83,10.7,1.39,1.57,-0.18
24,2173.59,10.5,2.02,1.57,0.45
24,3267.54,4.2,1.24,1.58,-0.34
24,3600.0,4.6,1.46,1.58,-0.12
24,0.0,12.6,0.66,1.58,-0.92
24,0.0,22.0,1.12,1.58,-0.46
24,0.0,21.3,1.2,1.58,-0.38
24,0.0,22.0,1.06,1.58,-0.52
24,0.0,21.3,1.3,1.58,-0.28
24,5480.24,12.6,1.98,1.58,0.4
24,1069.65,6.8,1.38,1.58,-0.2
24,313.14,12.4,1.7,1.58,0.12
24,0.0,5.8,1.1,1.58,-0.48
24,0.0,21.3,0.79,1.58,-0.79
24,0.0,23.0,0.81,1.59,-0.78
24,1447.93,22.9,1.75,1.59,0.16
24,1253.43,22.4,1.57,1.59,-0.02
24,5239.63,22.3,1.61,1.59,0.02
24,0.0,22.5,1.71,1.59,0.12
24,943.92,23.1,1.75,1.59,0.16
24,639.47,23.0,1.81,1.59,0.22
23,0.0,20.6,1.05,1.59,-0.54
23,4509.45,20.8,1.67,1.59,0.08
24,1641.77,11.8,1.39,1.6,-0.21
24,3699.4,11.7,1.66,1.6,0.06
24,1647.1,11.8,1.39,1.6,-0.21
24,3600.0,8.4,1.04,1.6,-0.56
24,6251.29,8.5,1.72,1.6,0.12
24,1512.88,9.3,1.39,1.6,-0.21
24,5100.06,11.8,1.85,1.6,0.25
24,1759.32,8.7,1.93,1.6,0.33
24,0.0,11.9,1.21,1.6,-0.39
24,0.0,14.5,0.68,1.63,-0.95
24,1159.69,14.3,1.26,1.63,-0.37
24,1156.47,14.3,1.22,1.63,-0.41
24,0.0,13.2,1.02,1.63,-0.61
22,0.0,22.4,1.04,1.65,-0.61
23,238.1,8.1,1.28,1.66,-0.38
23,0.0,16.6,0.93,1.67,-0.74
23,0.0,20.3,1.41,1.67,-0.26
23,4194.62,16.2,1.76,1.67,0.09
22,0.0,10.8,1.44,1.67,-0.23
22,1695.42,10.8,1.55,1.67,-0.12
24,865.7,18.3,1.36,1.68,-0.32
24,0.0,23.3,1.05,1.68,-0.63
24,0.0,17.1,0.76,1.68,-0.92
24,4209.81,23.5,1.67,1.68,-0.01
24,4165.93,23.5,1.6,1.68,-0.08
24,0.0,24.0,1.28,1.68,-0.4
24,5981.98,23.4,2.24,1.68,0.56
24,4917.91,16.8,2.04,1.68,0.36
24,1517.42,23.2,1.33,1.68,-0.35
24,0.0,23.5,1.26,1.68,-0.42
24,0.0,23.7,0.77,1.68,-0.91
24,0.0,17.9,1.11,1.68,-0.57
24,0.0,17.1,0.68,1.68,-1.0
24,4301.35,17.0,1.76,1.68,0.08
21,5195.32,21.7,1.7,1.69,0.01
22,3806.74,17.9,2.29,1.69,0.6
24,5806.75,18.8,1.9,1.69,0.21
19,0.0,24.4,0.68,1.69,-1.01
23,1602.62,16.7,1.67,1.69,-0.02
24,0.0,18.7,0.82,1.69,-0.87
21,0.0,20.5,1.22,1.69,-0.47
19,981.9,24.6,1.45,1.69,-0.24
22,2507.79,17.8,1.26,1.69,-0.43
24,0.0,14.6,1.31,1.69,-0.38
24,5944.32,18.7,1.92,1.69,0.23
24,5619.23,16.3,2.11,1.7,0.41
24,4153.32,16.6,1.67,1.7,-0.03
24,6166.2,17.4,1.73,1.7,0.03
24,6236.18,16.4,2.09,1.7,0.39
24,4827.77,17.6,2.13,1.7,0.43
